MFR CAT,Feb-22,Apr-22,Jul-22,Sep-22,Oct-22,Feb-23,Mar-23,Apr-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Cost_02/2022,Cost_04/2022,Cost_07/2022,Cost_09/2022,Cost_10/2022,Cost_02/2023,Cost_03/2023,Cost_04/2023,Cost_08/2023,Cost_09/2023,Cost_10/2023,Cost_11/2023,Cost_12/2023,Cost_01/2024,Cost_02/2024,Cost_03/2024,Cost_04/2024,Cost_05/2024,Cost_06/2024,Cost_07/2024,Cost_08/2024,Cost_09/2024,Cost_10/2024,Cost_11/2024,Cost_12/2024,AVG_QTY_RECEIVED_PER_MONTH,AVG_COST_PER_MONTH,TOTAL_QTY_RECEIVED_PER_YEAR,TOTAL_COST_PER_YEAR
80-1070,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,19,0,0,0,0,4,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,907.5,5172.75,0,0,0,0,1210,0,1210,1210,605,1.6,461.01,40,11525.25
8200-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.75,0.04,5.43,1,135.75
82000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,620,0,1240,0,1240,0,0,0,1240,0,0.32,198.4,8,4960
8300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,91.6,1,2290
8301,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,0,0,0,0,0,0.04,85.6,1,2140
8514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.32,0,0,0,0,0.16,10.6128,4,265.32
90701722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.81,0,0,0,0,0,0,0,0,0,0,0.04,2.9124,1,72.81
9100-B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0.16,21.2,4,530
A14-200-002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,1010,0,0,505,0,0,0,0.2,101,5,2525
A18-200-002,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,625,1875,0,0,2500,0.56,350,14,8750
A24-200-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0.04,29,1,725
A24-200-002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,0,1450,0.12,87,3,2175
AB9U16120090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1895,0,0,0,0,0,0,0,0.04,75.8,1,1895
